playerId,name,team,position,Overall_Talent_Rating,Offensive_Rate,xGD_OnIce_Per_100,I_F_takeaways_per60,games_played,icetime
8476480,Vladislav Namestnikov,WPG,C,69.52,0.52,6.20,0.76,390,141252.00
8475799,Nino Niederreiter,WPG,R,69.51,0.76,2.40,0.84,410,146144.00
8475151,Kyle Palmieri,NYI,C,69.46,0.76,-2.40,0.71,410,182200.00
8481601,Simon Holmstrom,NYI,R,69.38,0.89,-4.00,0.62,375,151784.00
8480802,Ryan McLeod,BUF,C,69.30,0.87,-2.60,1.17,395,159518.00
8482157,Will Cuylle,NYR,L,69.30,0.83,-2.60,0.44,410,148362.00
8482745,Mason McTavish,ANA,C,69.24,0.84,-2.60,0.84,380,153906.00
8473533,Jordan Staal,CAR,C,69.21,0.72,4.00,0.47,375,138936.00
8475784,Jeff Skinner,EDM,L,69.12,0.86,4.40,1.22,360,112318.00
8477986,Brandon Montour,SEA,D,69.05,0.48,2.80,0.81,405,223328.00
8476921,Jordan Martinook,CAR,L,68.96,0.72,7.00,0.89,395,145012.00
8481554,Kaapo Kakko,SEA,R,68.88,0.78,-1.40,0.88,395,148042.00
8480220,Noah Cates,PHI,L,68.88,0.74,0.00,1.02,390,148612.00
8478493,Joel Eriksson Ek,MIN,C,68.84,0.78,-0.20,0.92,230,109110.00
8481596,Shane Pinto,OTT,C,68.83,0.83,1.60,1.32,350,147478.00
8470621,Corey Perry,EDM,R,68.82,0.84,5.40,0.81,405,116028.00
8476432,Boone Jenner,CBJ,C,68.76,0.85,-0.60,0.51,130,56116.00
8475191,Reilly Smith,VGK,R,68.69,0.66,4.00,1.28,395,146378.00
8480036,Miro Heiskanen,DAL,D,68.68,0.24,9.20,1.34,250,150962.00
8476419,Jean-Gabriel Pageau,NYI,C,68.57,0.68,-2.00,1.12,395,161134.00
8483524,Shane Wright,SEA,C,68.52,0.94,-3.00,0.76,395,133366.00
8479325,Charlie McAvoy,BOS,D,68.46,0.34,-0.40,1.29,250,142022.00
8475798,Mikael Granlund,DAL,C,68.45,0.95,-4.80,0.71,415,193720.00
8475791,Taylor Hall,CAR,L,68.44,0.86,-5.60,1.75,385,140206.00
8476458,Ryan Strome,ANA,C,68.36,0.67,0.00,0.83,410,164158.00
8476399,Blake Coleman,CGY,L,68.34,0.64,1.60,1.28,410,174018.00
8476891,Matt Grzelcyk,PIT,D,68.30,0.29,2.20,1.14,410,202822.00
8475314,Anders Lee,NYI,L,68.29,1.02,-1.00,0.51,410,167874.00
8476869,Brady Skjei,NSH,D,68.21,0.33,2.20,1.07,410,215408.00
8482737,Zack Bolduc,STL,R,68.11,0.92,-3.80,1.11,360,110646.00
8476892,Colton Parayko,STL,D,68.11,0.52,-2.60,1.07,320,182420.00
8477426,Nick Paul,TBL,L,68.02,0.85,4.40,0.91,380,149958.00
8474563,Drew Doughty,LAK,D,67.98,0.30,2.60,0.58,150,86892.00
8482665,Matty Beniers,SEA,C,67.97,0.69,-1.40,1.10,410,183888.00
8476958,Jaccob Slavin,CAR,D,67.83,0.22,4.00,2.12,400,207098.00
8481524,Bowen Byram,BUF,D,67.80,0.32,-1.40,0.48,410,223340.00
8482159,Tyson Foerster,PHI,R,67.71,0.82,-0.60,0.70,405,163904.00
8481068,Yegor Sharangovich,CGY,C,67.65,0.70,1.40,0.84,365,145926.00
8478047,Michael Bunting,NSH,L,67.54,0.82,-3.40,0.66,380,141638.00
8479353,Brett Howden,VGK,C,67.47,0.86,5.00,1.11,400,142684.00
8481532,Alex Turcotte,LAK,C,67.43,0.74,-0.20,0.68,340,95772.00
8480188,Fabian Zetterlund,OTT,L,67.36,0.73,-3.40,0.96,420,164726.00
8476392,Adam Lowry,WPG,C,67.29,0.67,2.00,1.07,365,135152.00
8482109,Alexis Lafrenire,NYR,L,67.24,0.80,14.60,1.08,410,167334.00
8482089,Jake Neighbours,STL,L,67.18,0.87,-2.40,0.64,410,156404.00
8476438,Brandon Saad,VGK,L,67.18,0.60,5.20,1.18,360,128032.00
8483445,Cutter Gauthier,ANA,L,67.06,0.87,-5.40,1.14,410,139290.00
8478444,Brock Boeser,VAN,R,67.04,0.87,-2.00,0.79,375,163452.00
8480113,Alex Iafallo,WPG,L,67.00,0.76,1.20,1.43,410,130706.00
8477950,Tony DeAngelo,NYI,D,66.91,0.41,-3.60,0.44,175,98044.00
8484958,Maxim Tsyplakov,NYI,R,66.88,0.60,1.40,1.46,385,138296.00
8476923,Damon Severson,CBJ,D,66.87,0.40,1.00,1.26,350,160052.00
8478859,Niko Mikkola,FLA,D,66.86,0.19,6.00,0.59,380,184172.00
8480891,Michael Kesselring,UTA,D,66.85,0.44,-4.60,0.91,410,174036.00
8477429,Andrew Copp,DET,C,66.81,0.73,2.60,1.31,280,98800.00
8476826,Yanni Gourde,TBL,C,66.77,0.56,-1.00,1.05,285,109764.00
8483464,Marco Kasper,DET,C,66.72,0.70,1.20,0.45,385,142766.00
8480748,Kiefer Sherwood,VAN,L,66.72,0.86,-6.80,1.32,390,139362.00
8484144,Connor Bedard,CHI,C,66.67,0.88,-7.00,0.94,410,199610.00
8474149,Evgenii Dadonov,DAL,R,66.58,0.93,0.00,0.50,400,129920.00
8482659,Josh Doan,UTA,R,66.48,0.64,4.60,0.87,255,82734.00
8478498,Jake DeBrusk,VAN,L,66.48,0.87,-1.80,0.57,410,163828.00
8484145,Zach Benson,BUF,L,66.41,0.63,-1.80,1.03,375,133366.00
8482097,Jack Quinn,BUF,R,66.40,0.77,-2.40,0.65,370,131986.00
8481553,Bobby Brink,PHI,R,66.31,0.66,-0.20,1.08,395,140596.00
8480459,Pius Suter,VAN,C,66.27,0.85,0.80,0.81,405,168584.00
8477948,Travis Sanheim,PHI,D,66.27,0.25,3.80,1.51,410,241034.00
8478366,Frank Vatrano,ANA,R,66.22,0.67,4.80,0.55,405,170540.00
8482809,Jackson Blake,CAR,R,66.17,0.81,25.00,1.08,400,132920.00
8476967,Brett Kulak,EDM,D,66.05,0.25,1.80,0.82,410,202064.00
8479339,Patrik Laine,MTL,L,65.97,1.20,-6.00,1.05,260,89278.00
8475171,Oliver Ekman-Larsson,TOR,D,65.94,0.22,2.40,1.04,385,194674.00
8484153,Leo Carlsson,ANA,C,65.94,0.79,-2.20,0.88,380,148112.00
8478397,Rasmus Andersson,CGY,D,65.93,0.28,-5.40,0.93,405,233136.00
8474037,James van Riemsdyk,CBJ,L,65.89,0.95,-3.00,0.34,355,105644.00
8480336,Sean Walker,CAR,D,65.83,0.23,0.20,1.74,410,165644.00
8475753,Justin Faulk,STL,D,65.73,0.26,0.60,0.96,390,210136.00
8477505,Alexander Wennberg,SJS,C,65.72,0.46,-3.40,1.57,385,174240.00
8475220,Marcus Foligno,MIN,L,65.69,0.65,2.00,1.08,385,133814.00
8474150,Mikael Backlund,CGY,C,65.64,0.58,-1.00,1.47,380,170880.00
8483506,Sam Rinzel,CHI,D,65.59,0.11,9.40,0.57,45,25230.00
8480064,Josh Norris,BUF,C,65.58,0.93,-2.20,0.76,280,123288.00
8478055,Gustav Forsling,FLA,D,65.49,0.34,-0.40,1.21,400,220298.00
